         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
             val	              10	              23	     Morgan2Feat	            Dice	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan2Feat	            Dice	  0.377049180328	  0.579234972678	  0.655737704918	   0.79781420765	  0.863387978142	  0.912568306011
             val	               8	              81	     Morgan2Feat	            Dice	   0.79012345679	  0.950617283951	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan2Feat	            Dice	  0.566160520607	  0.724511930586	  0.817787418655	  0.902386117137	  0.939262472885	  0.945770065076
             val	               6	             824	     Morgan2Feat	            Dice	  0.486650485437	  0.791262135922	  0.898058252427	  0.945388349515	  0.955097087379	  0.956310679612
             val	               5	              67	     Morgan2Feat	            Dice	  0.910447761194	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan2Feat	            Dice	  0.516483516484	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan2Feat	            Dice	  0.409893992933	  0.567137809187	  0.643109540636	  0.724381625442	  0.818021201413	  0.853356890459
             val	               2	            1190	     Morgan2Feat	            Dice	  0.610924369748	  0.847058823529	  0.910084033613	  0.947058823529	  0.954621848739	  0.954621848739
             val	               1	            1515	     Morgan2Feat	            Dice	  0.499669966997	  0.676567656766	  0.762376237624	  0.852145214521	  0.907590759076	  0.915511551155
             val	             all	            5001	     Morgan2Feat	            Dice	  0.376924615077	  0.550089982004	  0.637472505499	  0.740051989602	  0.822635472905	  0.858428314337
             val	              10	              23	     Morgan2Feat	        TverskyA	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan2Feat	        TverskyA	  0.393442622951	  0.590163934426	  0.661202185792	  0.781420765027	  0.852459016393	  0.896174863388
             val	               8	              81	     Morgan2Feat	        TverskyA	  0.777777777778	  0.962962962963	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan2Feat	        TverskyA	  0.570498915401	  0.726681127983	  0.813449023861	  0.913232104121	  0.937093275488	  0.945770065076
             val	               6	             824	     Morgan2Feat	        TverskyA	  0.493932038835	  0.797330097087	  0.900485436893	  0.945388349515	  0.955097087379	  0.956310679612
             val	               5	              67	     Morgan2Feat	        TverskyA	  0.910447761194	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan2Feat	        TverskyA	  0.494505494505	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan2Feat	        TverskyA	  0.409893992933	  0.570671378092	  0.646643109541	  0.731448763251	  0.816254416961	   0.84628975265
             val	               2	            1190	     Morgan2Feat	        TverskyA	  0.608403361345	  0.854621848739	  0.905882352941	  0.949579831933	  0.954621848739	  0.954621848739
             val	               1	            1515	     Morgan2Feat	        TverskyA	  0.507590759076	  0.681848184818	  0.759735973597	  0.850165016502	  0.904290429043	  0.912211221122
             val	             all	            5001	     Morgan2Feat	        TverskyA	  0.380723855229	  0.551889622076	  0.638272345531	   0.73925214957	  0.824035192961	  0.857428514297
             val	              10	              23	     Morgan2Feat	        TverskyB	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan2Feat	        TverskyB	  0.377049180328	  0.579234972678	  0.666666666667	  0.770491803279	  0.868852459016	  0.907103825137
             val	               8	              81	     Morgan2Feat	        TverskyB	  0.765432098765	  0.938271604938	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan2Feat	        TverskyB	   0.55748373102	  0.741865509761	  0.813449023861	  0.904555314534	  0.937093275488	  0.941431670282
             val	               6	             824	     Morgan2Feat	        TverskyB	  0.497572815534	  0.796116504854	  0.896844660194	  0.947815533981	  0.958737864078	  0.958737864078
             val	               5	              67	     Morgan2Feat	        TverskyB	   0.89552238806	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan2Feat	        TverskyB	  0.527472527473	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan2Feat	        TverskyB	  0.404593639576	  0.567137809187	  0.636042402827	  0.724381625442	  0.814487632509	  0.855123674912
             val	               2	            1190	     Morgan2Feat	        TverskyB	  0.603361344538	  0.841176470588	  0.905882352941	  0.947058823529	  0.951260504202	  0.951260504202
             val	               1	            1515	     Morgan2Feat	        TverskyB	  0.483828382838	  0.675247524752	   0.76303630363	  0.850825082508	  0.906930693069	  0.916831683168
